index,btor_time,status
rast-p00.btor,166.635,unsat
rast-p01.btor,1.693,unsat
rast-p03.btor,0.038,sat
rast-p04.btor,1.738,unsat
rast-p06.btor,0.033,sat
rast-p11.btor,2.758,unsat
rast-p14.btor,299.446,
rast-p16.btor,11.381,unsat
rast-p17.btor,4.23,unsat
rast-p18.btor,0.06,sat
rast-p19.btor,0.04,sat
rast-p21.btor,1.894,unsat
simple_alu.btor,0.01,unsat
stack-p1.btor,0.013,sat
stack-p2.btor,0.588,unsat
